review,aspect,prep,your list,vlt5,Google,BigScience,Facebook,Bode
"A 4 quadras do Central Park , ótimo lugar para dar uma corrida ou apenas caminhar ... perto de tudo já que estamos em Mahattan ... quartos amplos com mini cozinha e ante sala além da suíte , da esquina se vê o time saquare que fica a umas 10 quadras , dá para conecer muita coisa so na caminhada como os teartos da broadway ... fui  Room Tip: difícl ter uma boa vista pois está rodeado por prédios , mas os mais altos tem uma vista mais ampla...","['quarto', 'cozinha', 'suite']",a 4 quadras do central park otimo lugar para dar uma corrida ou apenas caminhar perto de tudo ja que estamos em mahattan quartos amplos com mini cozinha e ante sala alem da suite da esquina se ve o time saquare que fica a umas 10 quadras da para conecer muita coisa so na caminhada como os teartos da broadway fui room tip dificl ter uma boa vista pois esta rodeado por predios mas os mais altos tem uma vista mais ampla,"['cozinha', 'suite']","Central Park, corrida, caminhada, quarto, quarto, quarto, quarto, quarto, quarto, quarto, quarto, quarto, quarto, quarto de machine, quarto de machine, quarto de machine, quarto de machine, quarto de machine, quarto de machine, quarto de machine, quarto de machine, quarto de machine, quarto de machine, quarto de machine, quarto de machine, quarto de machine, quarto de machine, quarto de machine, quarto de machine, quarto de machine, quarto de machine, quarto de machine, quarto de machine, quarto de machine, quarto de machine, quarto de machine, quarto de machine, quarto de machine, quarto de machine, quarto de machine, quarto de machine, quarto de machine, quarto de machine, quarto de machine, quarto de machine, quarto de machine, quarto de machine, quarto de machine, quarto de machine, quarto de machine, quarto de machine, quarto de machine, quarto de machine, quarto de machine, quarto de machine, quarto de machine, quarto de machine, quarto de machine, quarto de machine, quarto de machine, quarto de machine, quarto de","quarto, hotel, quarto, quarto, quarto, quarto, quarto, quarto, quarto, quarto, quarto, quarto, quarto, quarto, quarto, quarto, quarto, quarto, quarto, quarto, quarto, quarto, quarto, quarto, quarto, quart"," ['quadra', 'park', 'central', 'mesa', 'caminha', 'praia', 'praca', 'broadway', 'museu', 'local', 'praca', 'time', 'qualquer', 'carro', 'calor', 'mar', 'praca', 'casa', 'conhecer', 'academia', 'falta', 'muito', 'praca', 'viagem', 'praca', 'viagem', 'praca', 'casa', 'viagem', 'viagem', 'praca', 'viagem', 'viagem', 'praca', 'viagem', 'viagem', 'praca', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem', 'viagem"," I'm not sure what ""travail"" means, but I do know that in Spanish it means ""work""."," 

['carpete', 'jardim', 'corredor', 'localizacao', 'padrao', 'preco', 'hotel', 'praca', 'lavanderia', 'atendimento', 'conforto', 'colchao','secador', 'quarto', 'banheira','suite', 'rodoviaria', 'cama', 'estacionamento', 'torneira', 'c"
A comodidade dos quartos do hotel e a facilidade de deslocamento até um metrô Charlie de Gaule - étolie ou a própria Champs Elisée realmente fazem a diferença neste hotel. Atendimento do concierge e demais recepcionistas foi muito prestativa e agradável. Recomendo  Room Tip: Quartos superiores possuíam bom tamanho e sempre organizados/limpos.,"['quarto', 'hotel', 'atendimento']",a comodidade dos quartos do hotel e a facilidade de deslocamento ate um metro charlie de gaule etolie ou a propria champs elisee realmente fazem a diferenca neste hotel atendimento do concierge e demais recepcionistas foi muito prestativa e agradavel recomendo room tip quartos superiores possuiam bom tamanho e sempre organizados limpos,"['hotel', 'atendimento']","a comodidade, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel quarto, hotel quarto, hotel quarto, hotel quarto, hotel quarto, hotel quarto, hotel quarto","comodidade, quartos, hotel, atendimento, preco, conforto, localizacao, corredor, internet, chuveiro, jantar, escada, apartment, gerente, frigibar, colchao, serviço, torneira, jardim, praia, telefone, cafeteira, cozinha, secador, rodoviaria, carpet"," ['comodidade', 'quartos', 'facilidade', 'deslocamento', 'metrô', 'Charlie', 'Gaule', 'etolie', 'própria', 'Champs Elisée', 'realmente', 'façam', 'diferença', 'este', 'hotel', 'atendimento', 'concierge', 'demais', 'recepcionistas', 'prestativa', 'agradável', 'recomendo', 'Quartos', 'superiores', 'praticavam', 'bom', 'tamanho', 'sempre', 'organizados', 'limpos', 'Comodidade', 'quartos', 'facilidade', 'deslocamento', 'metrô', 'Charlie', 'Gaule', 'etolie', 'própria', 'Champs Elisée', 'realmente', 'façam', 'diferença', 'este', 'hotel', 'atendimento', 'concierge', 'demais', 'recepcionistas', 'prestativa', 'agradável', 'recomendo', 'Quartos', 'superiores', 'praticavam', 'bom', 'tamanho', 'sempre', 'organizados', 'limpos']"," I'm not sure what ""travail"" means, but I do know that in Spanish it means ""work""."," 

['comodidade', 'quartos', 'hotel', 'deslocamento','metrô', 'Charlie', 'étolie', 'o', 'a', 'própria', 'Champs', 'Elisée','realmente', 'fazem', 'a', 'diferença','recepcionistas', 'foi','muito', 'prestativa', 'agradá"
"A localização do hotel é muito boa , porém as partes comuns são pequenas e desconfortáveis para uma classificação 4 estrelas !!!!! O valor da diária não compensa o deconforto das instalações comuns. As salas de recepção e de café da manhã énão refletem um conforto de hotel 4 estrelas da rede Accor. A equipe de atendimento é gentil e atenciosa.","['atendimento', 'localizacao', 'recepcao', 'hotel']",a localizacao do hotel e muito boa porem as partes comuns sao pequenas e desconfortaveis para uma classificacao 4 estrelas o valor da diaria nao compensa o deconforto das instalacoes comuns as salas de recepcao e de cafe da manha enao refletem um conforto de hotel 4 estrelas da rede accor a equipe de atendimento e gentil e atenciosa,"['localizacao', 'hotel', 'instalacoes', 'recepcao', 'conforto', 'atendimento']","Accor, Accor, hotel, hotel 4 estrelas, hotel 4 estrelas, hotel 4 estrelas, hotel 4 estrelas, hotel 4 estrelas, hotel 4 estrelas, hotel 4 estrelas, hotel 4 estrelas","localizacao, quarto, hotel, atendimento, preco, conforto, localizacao, corredor, internet, chuveiro, jantar, escada, apartment, gerente, frigibar, colchao, serviço, torneira, jardim, praia, telefone, cafeteira, cozinha, secador, rodoviaria, carpete"," ['hotel', 'localizacao', 'apartamento', 'gerente', 'horario', 'suite', 'telefone']"," I'm not sure what ""travail"" means, but I do know that in Spanish it means ""work""."," ilegal e não é capaz de ser traduzida para o português.

"
"A localização é muito boa, pois fica no centro da cidade, mas o atendimento deixa a desejar. A começar pelos degraus ba entrada do hotel. Nenhum funcionário se prontificou a ajudar a carregar a mala. Poderiam, pelo menos colocar uma rampa.","['atendimento', 'hotel', 'localizacao']",a localizacao e muito boa pois fica no centro da cidade mas o atendimento deixa a desejar a comecar pelos degraus ba entrada do hotel nenhum funcionario se prontificou a ajudar a carregar a mala poderiam pelo menos colocar uma rampa,"['localizacao', 'cidade', 'atendimento', 'hotel']","atendimento, localização, funcionarios, funcionarios, funcionarios, funcionarios, funcionarios, funcionarios, funcionarios, funcionarios, funcionarios, funcionarios, funcionarios, funcionarios, funcionarios, funcionarios, funcionarios, funcionarios, funcionarios, funcionarios","localizacao, quarto, hotel, atendimento, preco, conforto, localizacao, corredor, internet, tapete, chuveiro, jantar, escada, apartment, gerente, frigibar, colchao, servico, torneira, suite, pia, lavanderia, jardim, praia, telefone, cafeteira"," ['localizacao', 'atendimento', 'ba', 'entrada', 'prontificou', 'pronta', 'funcionarios', 'colocar', 'atendimento', 'carregar', 'entrada', 'pedir', 'porem', 'mas', 'prontificou', 'pronta', 'funcionarios', 'colocar', 'atendimento', 'carregar', 'entrada', 'pedir', 'porem', 'mas', 'ba', 'entrada', 'prontificou', 'pronta', 'funcionarios', 'colocar', 'atendimento', 'carregar', 'entrada', 'pedir', 'porem', 'mas', 'prontificou', 'pronta', 'funcionarios', 'colocar', 'atendimento', 'carregar', 'entrada', 'pedir', 'porem', 'mas', 'ba', 'entrada', 'prontificou', 'pronta', 'funcionarios', 'colocar', 'atendimento', 'carregar', 'entrada', 'pedir', 'porem', 'mas']"," I'm not sure what ""travail"" means, but I do know that in Spanish it means ""work""."," 
['localização', 'atendimento', 'hotel', 'praca', 'lavanderia', 'conforto', 'colchao','secador', 'quarto', 'banheira','suite', 'rodoviaria', 'cama', 'estacionamento', 'torneira', 'cidade', 'calefacao', 'piscina', 'praia', 'cassino', '"
A única coisa que ainda passa é o café da manhã mediano. Os quartos são antigos e pequenos e o banheiro é de fazer você rir .. pois no mesmo espaço que vc toma banho pode fazer as necessidade fisiológicas simultaneas. Imagine a cena senta-se no vaso sanitário e abre o chuveiro e está tudo certo toma banho sentado. kkkk Parece piada mas é sério,"['quarto', 'chuveiro']",a unica coisa que ainda passa e o cafe da manha mediano os quartos sao antigos e pequenos e o banheiro e de fazer voce rir pois no mesmo espaco que vc toma banho pode fazer as necessidade fisiologicas simultaneas imagine a cena senta se no vaso sanitario e abre o chuveiro e esta tudo certo toma banho sentado kkkk parece piada mas e serio,['chuveiro'],"cama, café, chuveiro, chuveiro, chuveiro, chuveiro, chuveiro, chuveiro, chuveiro, chuveiro, chuveiro, chuveiro, chuveiro, chuveiro, chuveiro, chuveiro, chuveiro, chuveiro, chuveiro, chuveiro, chuveiro, chuveiro, chuveiro, chuveiro, chuveiro, chuveiro, chuveiro, chuveiro, chuveiro, chuveiro, chuveiro, chuveiro, chuveiro, chuveiro, chuveiro, chuveiro, chuveiro, chuveiro, chuveiro, chuveiro, chuveiro, chuveiro","quarto, hotel, quarto, chuveiro, jantar, escada, corredor, internet, tapete, jantar, escada, jardim, praia, telephone, rodoviaria, carpete, moveis, museu, garagem, shopping, praca, recepcao, horario"," ['banheiro', 'banheira', 'casal', 'chuveiro', 'cozinha', 'elevador', 'estabelecimento', 'familia', 'frigobar', 'instalacoes', 'jardim', 'lojas', 'localizacao', 'metro', 'quarto', 'quarto', 'quarto', 'quartos', 'quarto', 'quartos', 'quarto', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos', 'quartos',"," I'm not sure what ""travail"" means, but I do know that in Spanish it means ""work""."," 

[carpete, jardim, corredor, localizacao, padrao, preco, hotel, praca, lavanderia, atendimento, conforto, colchao, secador, quarto, banheira, suite, rodoviaria, cama, estacionamento, torneira, cidade, calefacao, piscina, praia, cassino, luxo, ge"
"Acabei de retornar de uma estadia de onze noites no hotel, junto com meu marido. O atendimento é excepcional, o staff é fantástico e atencioso, a arrumação e limpeza dos quartos nota 10, café da manhã farto e de muito boa qualidade, wi fi gratuito, além da localização, maravilhosa, a poucos passos do coração de Saint Germain Des Pres. Não só recomendo como voltarei a me hospedar quando voltar a Paris.","['localizacao', 'limpeza', 'atendimento']",acabei de retornar de uma estadia de onze noites no hotel junto com meu marido o atendimento e excepcional o staff e fantastico e atencioso a arrumacao e limpeza dos quartos nota 10 cafe da manha farto e de muito boa qualidade wi fi gratuito alem da localizacao maravilhosa a poucos passos do coracao de saint germain des pres nao so recomendo como voltarei a me hospedar quando voltar a paris,"['hotel', 'atendimento', 'limpeza', 'localizacao']","Paris, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele, hotele retornar","atendimento, staff, quarto, hotel, quarto, localizacao, internet, chuveiro, jantar, escada, apartment, gerente, frigibar, colchao, serviço, torneira, suite, pia, lavanderia, jardim, praia, telephone, café, rodoviaria, carpete, moveis, museu,"," ['hotel', 'estadia', 'atendimento', 'staff', 'arrumacao', 'quarto', 'cafe', 'garagem', 'cidade', 'lojas', 'estabelecimento', 'localizacao', 'localizacao', 'cafe', 'staff', 'atendimento', 'staff', 'atendimento', 'staff', 'localizacao', 'localizacao', 'staff', 'atendimento', 'staff', 'atendimento', 'staff', 'localizacao', 'localizacao', 'staff', 'atendimento', 'staff', 'atendimento', 'staff', 'localizacao', 'localizacao', 'staff', 'atendimento', 'staff', 'atendimento', 'staff', 'localizacao', 'localizacao', 'staff', 'atendimento', 'staff', 'atendimento', 'staff', 'localizacao', 'localizacao', 'staff', 'atendimento', 'staff', 'atendimento', 'staff', 'localizacao', 'localizacao', 'staff', 'atendimento', 'staff', 'atendimento', 'staff', 'localizacao', 'localizacao', 'staff', 'atendimento', 'staff', 'atendimento', 'staff', 'localizacao', 'localizacao', 'staff', 'atendimento', 'staff', 'atendimento', 'staff', 'localizacao', 'localizacao', 'staff', 'atendimento', 'staff', 'atendimento', 'staff', 'localizacao', 'localizacao', 'staff', 'atendimento', 'staff', 'atendimento', 'staff', 'localizacao', 'localizacao', 'staff', 'atendimento', 'staff', 'atendimento', 'staff', 'localizacao', 'localizacao', 'staff', 'atendimento', 'staff', 'atendimento', 'staff', 'localizacao', 'localizacao', 's"," I'm not sure what ""travail"" means, but I do know that in Spanish it means ""work""."," 

[carpete, jardim, corredor, localizacao, padrao, preco, hotel, praca, lavanderia, atendimento, conforto, colchao, secador, quarto, banheira, suite, rodoviaria, cama, estacionamento, torneira, cidade, calefacao, piscina, praia, cassino, luxo, ge"
"Acabei de voltar de Paris e fiquei 3 dias hospedada no W Opera , foi um sonho ! Passei meu aniversário lá e fui surpreendida várias vezes com surpresas deliciosas. É a terceira vez que me hospedo num hotel da rede W e tive experiencias ótimas. Recomendo MUITO !  Room Tip: Mesmo ficando nos apartamentos mais simples vc estará super bem instalado pois os aptos são bem deco...","['hotel', 'apartamento']",acabei de voltar de paris e fiquei 3 dias hospedada no w opera foi um sonho passei meu aniversario la e fui surpreendida varias vezes com surpresas deliciosas e a terceira vez que me hospedo num hotel da rede w e tive experiencias otimas recomendo muito room tip mesmo ficando nos apartamentos mais simples vc estara super bem instalado pois os aptos sao bem deco,['hotel'],"acabei de voltar de Paris, hotel, hotel de Paris, hotel de voltar de Paris, hotel de voltar de Paris, hotel de voltar de Paris, hotel de voltar de Paris, hotel de voltar de Paris, hotel de voltar de Paris, hotel de voltar de Paris, hotel de voltar de Paris, hotel de voltar de Paris, hotel de voltar de Paris, hotel de voltar de Paris, hotel de voltar de Paris, hotel de voltar de Paris, hotel de voltar de Paris, hotel de voltar de Paris","quarto, hotel, quarto, escada, escada, escada, escada, escada, escada, escada, escada, escada, escada, escada, escada, escada, escada, escada, escada, escada, escada,"," ['Paris', 'surpresas', 'aniversario', 'recomendo', 'estabelecimento', 'esta', 'horario', 'apartamento', 'imperdiveis', 'torneira', 'viajei']."," I'm not sure what ""travail"" means, but I do know that in Spanish it means ""work""."," 

Palavras que estão na frase:
- Acabei
- de
- voltar
- de
- Paris
- e
- fiquei
- 3
- dias
- hospedado
- no
- W
- Opera
- foi
- um
- sonho
- me
- hospedar
- meu
- aniversário
- lá
- fui
- surpre"
"Adoramos a receptividade e hospitalidade recebida no Hotel Aviatic. Os funcionários são excelentes, muito agradáveis e corteses. Nos auxiliaram em tudo! Hotel muito aconchegante, limpo e com um delicioso café da manhã. A localização é ótima e bem central, perto de tudo...  Parabéns ao hotel e obrigado por tudo!!  Merci.  Fabiola e família Batista","['localizacao', 'funcionarios', 'familia', 'hotel']",adoramos a receptividade e hospitalidade recebida no hotel aviatic os funcionarios sao excelentes muito agradaveis e corteses nos auxiliaram em tudo hotel muito aconchegante limpo e com um delicioso cafe da manha a localizacao e otima e bem central perto de tudo parabens ao hotel e obrigado por tudo merci fabiola e familia batista,"['hotel', 'funcionarios', 'localizacao', 'familia']","adolescent, família Batista, hotel Aviatic, receptividade, receptividade recebida, hotel Aviatic, receptividade recebida, hotel Aviatic, receptividade recebida, hotele, hotele recebida, hotele recebida, hotele recebida, hotele recebida, hotele recebida, hotele recebida, hotele recebida, hotele recebida, hotele recebida","hotel, quarto, quarto, jantar, escada, internet, chuveiro, jantar, escada, jantar, escada, jantar, escada, jantar, escada, jantar, escada, jantar, escada, jantar, escada, jantar, escada, jan"," ['cama', 'piscina', 'estacionamento', 'calefacao', 'parque', 'porteiro', 'toalha', 'tv', 'limpeza', 'banheira', 'padrao', 'rua', 'funcionarios', 'ducha', 'casal', 'almoço', 'instalaçoes', 'tomada', 'cassino', 'luxo', 'aeroporto', 'travesseiro', 'estabelecimento', 'cidade', 'lojas', 'quarto', 'hotel', 'familia', 'atendimento', 'preço', 'conforto', 'localizacao', 'corredor', 'internet', 'tapete', 'chuveiro', 'jantar', 'escada', 'apartamento', 'gerente', 'farmacia', 'frigobar', 'colchao', 'servico', 'torneira', 'suite', 'pia', 'lavanderia', 'jardim', 'praia', 'telefone', 'cafeteira', 'cozinha', 'secador', 'rodoviaria', 'carpete', 'moveis', 'teatro', 'museu', 'garagem', 'shopping', 'praca', 'recepcao', 'horario', 'elevador']"," I'm not sure what ""travail"" means, but I do know that in Spanish it means ""work""."," 
['carpete', 'jardim', 'corredor', 'localizacao', 'padrao', 'preco', 'hotel', 'praca', 'lavanderia', 'atendimento', 'conforto', 'colchao','secador', 'quarto', 'banheira','suite', 'rodoviaria', 'cama', 'estacionamento', 'torneira', 'cid"
"Amei este hotel, a decoração é linda, o quarto muito confortável.Localização muito boa para o que eu precisava!A equipe foi atenciosa. O café da manhã é bom e os funcionários do restaurante atenciosos.  A limpeza realmente chama a atenção pelo cuidado.  Recomendo, e na próxima viagem voltarei ao Le Littre.","['quarto', 'hotel', 'limpeza', 'localizacao']",amei este hotel a decoracao e linda o quarto muito confortavel localizacao muito boa para o que eu precisava a equipe foi atenciosa o cafe da manha e bom e os funcionarios do restaurante atenciosos a limpeza realmente chama a atencao pelo cuidado recomendo e na proxima viagem voltarei ao le littre,"['hotel', 'quarto', 'localizacao', 'funcionarios', 'limpeza']","activity, cama, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotele, hotel, hotel,","amei, hotel, quarto, localizacao, corredor, internet, chuveiro, jantar, escada, apartment, gerente, frigibar, colchao, serviço, torneira, suite, pia, lavanderia, jardim, praia, telephone, cafeteira, cozinha, secador, rodoviaria, carpete, moveis,"," ['amei', 'decoracao', 'muito', 'comfortavel', 'localizacao', 'funcionarios']"," I'm not sure what ""travail"" means, but I do know that in Spanish it means ""work""."," 
['carpete', 'jardim', 'corredor', 'localizacao', 'padrao', 'preco', 'hotel', 'praca', 'lavanderia', 'atendimento', 'conforto', 'colchao','secador', 'quarto', 'banheira','suite', 'rodoviaria', 'cama', 'estacionamento', 'torneira', 'cid"
"Apartamento e banheiro são pequenos mas confortáveis. Oferece Wi-Fi gratuito que funciona bem. O serviço é oscilante: precisei imprimir um arquivo pdf que estava num pendrive duas vezes. Na primeira a eficiente funcionária resolveu na hora. Na segunda, uma outra funcionária disse ser impossível. A localização é excelente a duas quadras do metrô Charles De Gaulle-Etoile e ao lado do Arco do Triunfo.",['localizacao'],apartamento e banheiro sao pequenos mas confortaveis oferece wi fi gratuito que funciona bem o servico e oscilante precisei imprimir um arquivo pdf que estava num pendrive duas vezes na primeira a eficiente funcionaria resolveu na hora na segunda uma outra funcionaria disse ser impossivel a localizacao e excelente a duas quadras do metro charles de gaulle etoile e ao lado do arco do triunfo,"['apartamento', 'servico', 'localizacao']","Wi-Fi, confortaveis, funcionarios, funcionarios, funcionarios, funcionarios, funcionarios, funcionarios, funcionarios, funcionarios, funcionarios, funcionarios, funcionarios, wi-fi","Apartamento, banheiro, localizacao, quarto, internet, chuveiro, jantar, escada, jantar, escada, escada, escada, escada, escada, escada, escada, escada, escada, escada, escada, escada, escada"," ['banheiro', 'cozinha', 'garagem', 'horario', 'localizacao', 'lojas', 'mar', 'praca', 'quarto', 'suite', 'shopping']."," I'm not sure what ""travail"" means, but I do know that in Spanish it means ""work""."," irmã.
"
