review,aspect,prep,yake,tfidf,pmi,mle,dice,count,merged,vlt5,Google,BigScience,Facebook,Bode
"A 4 quadras do Central Park , ótimo lugar para dar uma corrida ou apenas caminhar ... perto de tudo já que estamos em Mahattan ... quartos amplos com mini cozinha e ante sala além da suíte , da esquina se vê o time saquare que fica a umas 10 quadras , dá para conecer muita coisa so na caminhada como os teartos da broadway ... fui  Room Tip: difícl ter uma boa vista pois está rodeado por prédios , mas os mais altos tem uma vista mais ampla...","['quarto', 'cozinha', 'suite']",4 quadras central park otimo lugar dar corrida apenas caminhar perto tudo mahattan quartos amplos mini cozinha ante sala alem suite esquina ve time saquare fica umas 10 quadras conecer muita coisa caminhada teartos broadway room tip dificl ter boa vista pois rodeado predios altos vista ampla,"['otimo', 'perto', 'tudo', 'quartos', 'fica', 'room', 'tip', 'boa', 'vista', 'pois']","['quadras', 'otimo', 'perto', 'tudo', 'quartos', 'amplos', 'fica', 'boa']",['4'],"['otimo', 'perto', 'tudo', 'quartos', 'fica', 'room', 'tip', 'boa', 'vista', 'pois']",['4'],"['otimo', 'perto', 'tudo', 'quartos', 'fica', 'room', 'tip', 'boa', 'vista', 'pois']","['otimo', 'tip', 'quartos', 'vista', 'boa', 'pois', 'amplos', 'perto', 'quadras', 'fica', 'tudo', '4', 'room']","Central Park, mahattan, uma corrida","caminhar, quarto, sala, vista"," Central Park (4 quadras away), a good place to run or just walk ... Close to everything since we're in Manhattan ... large rooms with mini-kitchen and living room, as well as the suite, from the corner you can see the Squaretime team that is about 10 blocks away, you can know a lot of just walking like the Broadway theaters ... I went  Room Tip: It's hard to have a good view since it's surrounded by buildings, but the taller ones have a wider view ..."," Wow, that's a lot of quadruple quadres. Do you have any other questions for me?"," 

1. Central Park
2. Mahattan
3. Quartos
4. Mini Cozinha
5. Ante Sala
6. Time
7. Broadway
8. Caminhada
9. Teartos
10. Prédios
11. Vista
12. Boa
13. Altos
14. Vista mais ampla
15. Prédios
16. Caminhada
17"
A comodidade dos quartos do hotel e a facilidade de deslocamento até um metrô Charlie de Gaule - étolie ou a própria Champs Elisée realmente fazem a diferença neste hotel. Atendimento do concierge e demais recepcionistas foi muito prestativa e agradável. Recomendo  Room Tip: Quartos superiores possuíam bom tamanho e sempre organizados/limpos.,"['quarto', 'hotel', 'atendimento']",comodidade quartos hotel facilidade deslocamento metro charlie gaule etolie propria champs elisee realmente fazem diferenca neste hotel atendimento concierge demais recepcionistas prestativa agradavel recomendo room tip quartos superiores possuiam bom tamanho sempre organizados limpos,"['quartos', 'hotel', 'metro', 'atendimento', 'recomendo', 'room', 'tip', 'bom', 'sempre', 'limpos']","['quartos', 'hotel', 'metro', 'neste', 'atendimento', 'bom', 'sempre']",[],"['quartos', 'hotel', 'metro', 'atendimento', 'recomendo', 'room', 'tip', 'bom', 'sempre', 'limpos']",[],"['quartos', 'hotel', 'metro', 'atendimento', 'recomendo', 'room', 'tip', 'bom', 'sempre', 'limpos']","['tip', 'quartos', 'neste', 'limpos', 'bom', 'sempre', 'hotel', 'atendimento', 'metro', 'room', 'recomendo']","hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel","charlie, hotel, quarto"," ""quartos superiores"" (loft), ""metrô"" (subway), ""hotel"" (hotel), ""deslocamento"" (travel), ""champs-Élysées"" (Champs Élysées), ""até"" (to), ""metrô charles de gaulle - étolie ou a própria champs elisée"" (subway Charles de Gaulle-Étoile or the very Champs Élysées), ""quarto do hotel"" (hotel room), ""hotel e"" (hotel and), ""conforto dos quartos"" (room comfort), ""companhia do concierge"" (concierge company), ""recepcionistas"" (receptionists), ""prestativa"" (helpful), ""agradável"" (pleasant)."," I'm not sure what that means, but I do know that a quartet is a group of singers and songwriters."," 

1. Comodidade dos quartos do hotel
2. Facilidade de deslocamento até um metrô Charlie de Gaule
3. Atendimento do concierge
4. Recomendações
5. Tipo de quarto
6. Tamanho do quarto
7. Organização/limpos do quarto
8. Recomendações
9. Tip"
"A localização do hotel é muito boa , porém as partes comuns são pequenas e desconfortáveis para uma classificação 4 estrelas !!!!! O valor da diária não compensa o deconforto das instalações comuns. As salas de recepção e de café da manhã énão refletem um conforto de hotel 4 estrelas da rede Accor. A equipe de atendimento é gentil e atenciosa.","['atendimento', 'localizacao', 'recepcao', 'hotel']",localizacao hotel boa porem partes comuns pequenas desconfortaveis classificacao 4 estrelas valor diaria compensa deconforto instalacoes comuns salas recepcao cafe manha enao refletem conforto hotel 4 estrelas rede accor equipe atendimento gentil atenciosa,"['localizacao', 'hotel', 'boa', 'porem', 'diaria', 'recepcao', 'cafe', 'manha', 'atendimento']","['localizacao', 'hotel', 'boa', 'porem', 'cafe', 'atendimento']",['4'],"['localizacao', 'hotel', 'boa', 'porem', 'diaria', 'recepcao', 'cafe', 'manha', 'atendimento']",['4'],"['localizacao', 'hotel', 'boa', 'porem', 'diaria', 'recepcao', 'cafe', 'manha', 'atendimento']","['cafe', 'recepcao', 'manha', 'boa', 'diaria', 'hotel', 'porem', 'atendimento', '4', 'localizacao']","Accor, Accor, Accor, Accor, Accor, Accor, Accor, Accor, Accor, Accor, Accor, hotel 4 estrelas","localizacao, part, star"," : localização, hotel, pequena, comum, classificação, estrelas, diárias, compensa, desconforto, instalações, salas, recepção, café, manhã, equipe, atendimento, gentil, atenciosa"," Do you speak any other languages? I speak Spanish, French, and Portuguese."," 

Palavras mais relevantes: localização, boa, partes comuns, desconfortáveis, classificação, equipe de atendimento, salas de recepção, café, diário, valor, atenciosa.

Question 2:

Palavras mais relevantes: estrelas, conforto, rede Accor, equipe de atendimento"
"A localização é muito boa, pois fica no centro da cidade, mas o atendimento deixa a desejar. A começar pelos degraus ba entrada do hotel. Nenhum funcionário se prontificou a ajudar a carregar a mala. Poderiam, pelo menos colocar uma rampa.","['atendimento', 'hotel', 'localizacao']",localizacao boa pois fica centro cidade atendimento deixa desejar comecar degraus ba entrada hotel nenhum funcionario prontificou ajudar carregar mala poderiam menos colocar rampa,"['localizacao', 'boa', 'pois', 'fica', 'centro', 'cidade', 'atendimento', 'hotel']","['localizacao', 'boa', 'fica', 'centro', 'atendimento', 'hotel']",[],"['localizacao', 'boa', 'pois', 'fica', 'centro', 'cidade', 'atendimento', 'hotel']",[],"['localizacao', 'boa', 'pois', 'fica', 'centro', 'cidade', 'atendimento', 'hotel']","['boa', 'atendimento', 'centro', 'hotel', 'pois', 'cidade', 'fica', 'localizacao']","localization, localization, localization, localization, localization","cidade, localizaço, hotel"," a very good location, since it is located in the city center, but the service leaves much to be desired. Starting with the steps at the entrance to the hotel. No employee was willing to help carry the bag. They could at least put up a ramp."," Wow, that's a lot of words. I didn't know there were so many. Do you speak any other languages?"," 

[localização, cidade, atendimento, hotel, degraus, rampa].
"
A única coisa que ainda passa é o café da manhã mediano. Os quartos são antigos e pequenos e o banheiro é de fazer você rir .. pois no mesmo espaço que vc toma banho pode fazer as necessidade fisiológicas simultaneas. Imagine a cena senta-se no vaso sanitário e abre o chuveiro e está tudo certo toma banho sentado. kkkk Parece piada mas é sério,"['quarto', 'chuveiro']",unica coisa ainda passa cafe manha mediano quartos antigos pequenos banheiro fazer rir pois espaco vc toma banho pode fazer necessidade fisiologicas simultaneas imagine cena senta vaso sanitario abre chuveiro tudo certo toma banho sentado kkkk parece piada serio,"['cafe', 'manha', 'quartos', 'pequenos', 'banheiro', 'pois', 'tudo']","['cafe', 'quartos', 'tudo']",[],"['cafe', 'manha', 'quartos', 'banheiro', 'pois', 'tudo']",[],"['cafe', 'manha', 'quartos', 'banheiro', 'pois', 'tudo']","['cafe', 'pequenos', 'quartos', 'manha', 'banheiro', 'pois', 'tudo']","ainda passa, manhã mediano, quartos, quartos, quartos, quartos, quartos, quartos, quartos, quartos, quartos, quartos, quartos, quartos, quartos, quartos antigos, quartos pequenos","banho, passa, quarto"," pequeno, antigo, mediano, rir, fazer, fisiológicas, banheiro, senta-se, chuveiro, rir"," I love french cuisine, but I don't know how to speak french."," 

1. Café
2. Quartos
3. Banheiro
4. Chuveiro
5. Vaso sanitário
6. Chave
7. Banho
8. Senta
9. Abre
10. Está
11. Tudo
12. Simultaneas
13. Parece
14. Piada
15. Sério
16. Tudo
17. Está
18. Tudo
"
"Acabei de retornar de uma estadia de onze noites no hotel, junto com meu marido. O atendimento é excepcional, o staff é fantástico e atencioso, a arrumação e limpeza dos quartos nota 10, café da manhã farto e de muito boa qualidade, wi fi gratuito, além da localização, maravilhosa, a poucos passos do coração de Saint Germain Des Pres. Não só recomendo como voltarei a me hospedar quando voltar a Paris.","['localizacao', 'limpeza', 'atendimento']",acabei retornar estadia onze noites hotel junto marido atendimento excepcional staff fantastico atencioso arrumacao limpeza quartos nota 10 cafe manha farto boa qualidade wi fi gratuito alem localizacao maravilhosa poucos passos coracao saint germain des pres recomendo voltarei hospedar voltar paris,"['hotel', 'atendimento', 'atencioso', 'limpeza', 'quartos', 'cafe', 'manha', 'boa', 'qualidade', 'localizacao', 'recomendo', 'paris']","['hotel', 'atendimento', 'quartos', 'cafe', 'boa', 'localizacao', 'voltar', 'paris']",[],"['hotel', 'atendimento', 'limpeza', 'quartos', 'cafe', 'manha', 'boa', 'qualidade', 'localizacao', 'recomendo', 'paris']",[],"['hotel', 'atendimento', 'limpeza', 'quartos', 'cafe', 'manha', 'boa', 'qualidade', 'localizacao', 'recomendo', 'paris']","['cafe', 'atencioso', 'paris', 'quartos', 'recomendo', 'manha', 'boa', 'hotel', 'atendimento', 'qualidade', 'voltar', 'localizacao', 'limpeza']","Paris, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel","hotel, passos, recomendo, voltarei"," the following: hotel, estadia, onze, noite, junto, marido, atendimento, staff, fantástico, atencioso, arrumação, limpeza, quarto, café, manhã, farto, qualidade, wi, fi, gratuito, localização, maravilhosa, coração, saint, germain, pres."," Wow, that's a lot of quartz. Do you know how to play the piano?"," 

1. Acabei de retornar de uma estadia de onze noites no hotel
2. Junto com meu marido
3. O atendimento
4. O staff
5. A arrumação
6. A limpeza dos quartos
7. Café da manhã farto
8. Wi-Fi gratuito
9. Localização
10. Maravilhosa
11"
"Acabei de voltar de Paris e fiquei 3 dias hospedada no W Opera , foi um sonho ! Passei meu aniversário lá e fui surpreendida várias vezes com surpresas deliciosas. É a terceira vez que me hospedo num hotel da rede W e tive experiencias ótimas. Recomendo MUITO !  Room Tip: Mesmo ficando nos apartamentos mais simples vc estará super bem instalado pois os aptos são bem deco...","['hotel', 'apartamento']",acabei voltar paris fiquei 3 dias hospedada w opera sonho passei aniversario la surpreendida varias vezes surpresas deliciosas terceira vez hospedo hotel rede w experiencias otimas recomendo room tip ficando apartamentos simples vc estara super bem instalado pois aptos bem deco,"['paris', 'fiquei', 'hotel', 'recomendo', 'room', 'tip', 'bem', 'pois']","['voltar', 'paris', 'fiquei', 'dias', 'vez', 'hotel', 'super', 'bem']",[],"['paris', 'fiquei', 'la', 'hotel', 'recomendo', 'room', 'tip', 'bem', 'pois']",[],"['paris', 'fiquei', 'la', 'hotel', 'recomendo', 'room', 'tip', 'bem', 'pois']","['paris', 'tip', 'vez', 'recomendo', 'fiquei', 'hotel', 'pois', 'la', 'super', 'voltar', 'dias', 'room', 'bem']","Paris, hotel, hotel de renewable, hotel de renewable, hotel de renewable, hotel de renewable, hotel de renewable, hotel de renewable","fiquei, paris, passei, recomendo, terceira, vez", W Paris - Opera  W Paris - Eiffel Tower  W Paris - Marais  W Paris - Vendôme  W Paris - Opéra Garnier  W Paris - Grands Boulevards  W Paris - Champs-Elysées  W Paris - Saint-German-en-Laye  W Paris - Porte Maillot  W Paris - Saint-Germain-des-Prés  W Paris - Trocadéro  W Paris - Montmartre  W Paris - Madeleine  W Paris - Luxembourg  W Paris - Tour Eiffel  W Paris - Champ de Mars  W Paris - Invalides  W Paris - Opera Bastille  W Paris - Gare de Lyon  W Paris - Bercy  W Paris - Saint-Denis  W Paris - Saint-Denis  W Paris - Clichy  W Paris - Madeleine  W Paris - Pigalle  W Paris - Opéra  W Paris - Montparnasse  W Paris - Gare du Nord  W Paris - Bastille  W Paris - République  W Paris - Reuilly-Diderot  W Paris - Courcelles  W Paris - Saint-Germain-des-Prés  W Paris - Madeleine  W Paris - Madeleine  W Paris - Louvre  W Paris - Louvre  W Paris - Louvre  W Paris - Louvre  W Paris - Les Halles  W Paris - Quartier Latin  W Paris - Les Halles  W Paris - Bourse  W Paris - Grands Boulevards  W Paris - Grands Boulevards  W Paris - Grands Boulevards  W Paris - Grands Boulevards  W Paris - Grands Boulevards  W Paris - Grands Boulevards  W Paris - Grands Boulevards  W Paris - Grands Boulevards  W Paris - Grands Boulevards  W Paris - Grands Boulevards  W Paris - Grands Boulevards  W Paris - Grands Boulevards  W Paris - Grands Boulevards  W Paris - Grands Boulevards  W Paris - Grands Boulevards  W Paris - Grands Boulevards  W Paris - Grands Boulevards  W Paris - Grands Boulevards  W Paris - Grands Boulevards  W Paris - Grands Boulevards  W Paris - Grands Boulevards  W Paris - Grands Boulevards  W Paris - Grands Boulevards  W Paris - Grands Boulevards  W Paris - Grands Boulevards  W Paris - Grands Boulevards  W Paris - Grands Boulevards  W Paris - Grands Boulevards  W Paris - Grands Boulevards  W Paris - Grands," I have never been to Paris, but I have always wanted to go.  Have you ever been?"," 

1. Acabei de voltar de Paris e fiquei 3 dias hospedado no W Opera
2. Surpreendido
3. Experiências ótimas
4. Mesmo ficando nos apartamentos mais simples vc estará super bem instalado pois os aptos são bem deco
5. Recomendo MUITO!

Resposta: A"
"Adoramos a receptividade e hospitalidade recebida no Hotel Aviatic. Os funcionários são excelentes, muito agradáveis e corteses. Nos auxiliaram em tudo! Hotel muito aconchegante, limpo e com um delicioso café da manhã. A localização é ótima e bem central, perto de tudo...  Parabéns ao hotel e obrigado por tudo!!  Merci.  Fabiola e família Batista","['localizacao', 'funcionarios', 'familia', 'hotel']",adoramos receptividade hospitalidade recebida hotel aviatic funcionarios excelentes agradaveis corteses auxiliaram tudo hotel aconchegante limpo delicioso cafe manha localizacao otima bem central perto tudo parabens hotel obrigado tudo merci fabiola familia batista,"['hotel', 'funcionarios', 'tudo', 'limpo', 'cafe', 'manha', 'localizacao', 'otima', 'bem', 'perto']","['hotel', 'tudo', 'aconchegante', 'limpo', 'cafe', 'localizacao', 'otima', 'bem', 'perto']",[],"['hotel', 'funcionarios', 'tudo', 'limpo', 'cafe', 'manha', 'localizacao', 'otima', 'bem', 'perto']",[],"['hotel', 'funcionarios', 'tudo', 'limpo', 'cafe', 'manha', 'localizacao', 'otima', 'bem', 'perto']","['cafe', 'funcionarios', 'manha', 'limpo', 'hotel', 'aconchegante', 'perto', 'tudo', 'otima', 'localizacao', 'bem']","Aviatic, receptividade, receptividade recebida, receptividade receptividade, receptividade receptividade","adore, hotel, hospitalidade"," receptividade, hospitalidade, funcionários, agradáveis, corteses, auxiliaram, aconchegante, limpo, café, ótima, central, perto, parabéns, obrigado."," I love tacos de lengua, but I've never been to a mexican restaurant."," 

Palavras mais relevantes: Adoramos, Hospitalidade, Receptividade, Hotel, Aviatico, Funcionários, Excelentes, Agradáveis, Cortesos, Auxiliar, Todo, Limpo, Café, Manhã, Localização, Central, Batista, Merci.

Resposta: "
"Amei este hotel, a decoração é linda, o quarto muito confortável.Localização muito boa para o que eu precisava!A equipe foi atenciosa. O café da manhã é bom e os funcionários do restaurante atenciosos.  A limpeza realmente chama a atenção pelo cuidado.  Recomendo, e na próxima viagem voltarei ao Le Littre.","['quarto', 'hotel', 'limpeza', 'localizacao']",amei hotel decoracao linda quarto confortavel localizacao boa precisava equipe atenciosa cafe manha bom funcionarios restaurante atenciosos limpeza realmente chama atencao cuidado recomendo proxima viagem voltarei le littre,"['hotel', 'quarto', 'confortavel', 'localizacao', 'boa', 'cafe', 'manha', 'bom', 'funcionarios', 'limpeza', 'recomendo']","['hotel', 'quarto', 'confortavel', 'localizacao', 'boa', 'cafe', 'bom', 'viagem']",[],"['hotel', 'quarto', 'confortavel', 'localizacao', 'boa', 'cafe', 'manha', 'bom', 'funcionarios', 'limpeza', 'recomendo']",[],"['hotel', 'quarto', 'confortavel', 'localizacao', 'boa', 'cafe', 'manha', 'bom', 'funcionarios', 'limpeza', 'recomendo']","['cafe', 'funcionarios', 'recomendo', 'manha', 'bom', 'viagem', 'boa', 'quarto', 'hotel', 'confortavel', 'localizacao', 'limpeza']","atenção, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel, hotel","amei, hotel, quarto"," ['amei', 'amei', 'linda', 'amei', 'amei', 'amei', 'linda', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei', 'amei',"," I have never been to a mexican restaurant, but I would love to go one day."," 

1. Hotel
2. Decoração
3. Quarto
4. Equipe
5. Café
6. Restaurante
7. Limpeza
8. Cuidado
9. Recomendação
10. Viagem
11. Le Littre
"
"Apartamento e banheiro são pequenos mas confortáveis. Oferece Wi-Fi gratuito que funciona bem. O serviço é oscilante: precisei imprimir um arquivo pdf que estava num pendrive duas vezes. Na primeira a eficiente funcionária resolveu na hora. Na segunda, uma outra funcionária disse ser impossível. A localização é excelente a duas quadras do metrô Charles De Gaulle-Etoile e ao lado do Arco do Triunfo.",['localizacao'],apartamento banheiro pequenos confortaveis oferece wi fi gratuito funciona bem servico oscilante precisei imprimir arquivo pdf pendrive duas vezes primeira eficiente funcionaria resolveu hora segunda outra funcionaria disse impossivel localizacao excelente duas quadras metro charles gaulle etoile lado arco triunfo,"['banheiro', 'pequenos', 'bem', 'servico', 'duas', 'localizacao', 'excelente', 'metro']","['apartamento', 'bem', 'servico', 'localizacao', 'excelente', 'quadras', 'metro']",[],"['banheiro', 'bem', 'servico', 'duas', 'localizacao', 'excelente', 'metro']",[],"['banheiro', 'bem', 'servico', 'duas', 'localizacao', 'excelente', 'metro']","['pequenos', 'servico', 'duas', 'apartamento', 'excelente', 'banheiro', 'metro', 'quadras', 'localizacao', 'bem']","Wi-Fi, apartamento, funcionária, funcionária, wi-fi","banheiro, list, num, pendrive, so"," confortável, funcionária, eficiente, pendrive, localização, ao lado, duas, duas, duas, duas, duas, duas, duas."," I'm not sure what you mean by that, but I do know that Apartmento means ""land of flowers"" in Spanish."," 

- Apartamento
- Banheiro
- Wi-Fi gratuito
- Oscilante
- Imprimir um arquivo pdf
- Primeira funcionária
- Segunda funcionária
- Localização
- Charles De Gaulle-Etoile
- Arco do Triunfo
"
