product_name,prep,yake,tfidf,pmi,mle,dice,count,merged,vlt5,Google,BigScience,Facebook,Bode,keybert
"Notebook Asus Vivobook Max X541NA-GO472T Intel Celeron Quad Core 4GB 500GB Tela LED 15,6"" Windows - 10 Branco",notebook asus vivobook max x541na go472t intel celeron quad core 4gb 500gb tela led 15 6 windows 10 branco,"['notebook', 'asus', 'quad', 'core', 'tela', 'led', 'windows', 'branco']","['notebook', 'asus', 'x541na', 'led', '10', 'branco']",['notebook'],"['asus', 'quad', 'core', 'tela', 'led', '6', '10', 'branco']",['notebook'],"['asus', 'quad', 'core', 'tela', 'led', '6', '10', 'branco']","['6', 'windows', 'branco', 'quad', 'asus', 'notebook', 'x541na', '10', 'led', 'tela', 'core']","Asus Vivobook Max, Windows 10 Branco, Windows 10 Branco, Windows 10","asus, core, gb, tela, vivobook, window"," Asus Vivobook Max X541NA-GO472T Intel Celeron Quad Core 4GB 500GB Tela LED 15,6"" Windows - 10 Branco"," I'm not sure what you mean by ""The list"" but I can tell you that the list of most important items on the list is: "," 

[Notebook, Asus, Vivobook, Max, X541NA-GO472T, Intel, Celeron, Quad, Core, 4GB, 500GB, Tela, LED, 15,6"", Windows, 10, Branco]

Note: A frase é traduzida para o português e a lista de palavras é traduzida para o português. A frase é traduzida para o port","['notebook', 'asus', 'vivobook', 'max', 'x541na', 'go472t', 'intel', 'celeron', 'quad', 'core', '4gb', '500gb', 'tela', 'led', 'windows']"
Copo Acrílico Com Canudo 500ml Rocie,copo acrilico canudo 500ml rocie,['copo'],[],[],[],[],[],['copo'],"Copo Acrílico, Copo Acrílico, Copo Acríli","acilico, canudo, com, rocie"," Rocie, 500ml, Com, Canudo, Acrílico, Copo, Rocie, Copo, Acrílico, Com, Canudo, 500ml"," Do you know that the word ""copo"" means ""little armoured one"" in Spanish?"," 

1. Copo Acrílico
2. Com Canudo
3. 500ml
4. Rocie
","['com', 'canudo']"
Panela de Pressão Elétrica Philips Walita Daily 5L com Timer,panela pressao eletrica philips walita daily 5l timer,"['eletrica', 'philips']","['eletrica', 'philips', 'walita']",[],['eletrica'],[],['eletrica'],"['philips', 'walita', 'eletrica']","Panela de Pressão Elétrica Philips Walita Daily, Panela","presso, panela, philips, timer"," ['Panela de Pressão Elétrica', 'Philips Walita', 'Daily 5L']"," I'm not sure what you are trying to say, but I do know that the word ""answer"" means ""little armoured one"" in Spanish."," 

Panela de Pressão, Elétrico, Philips, Walita, Daily, 5L, Timer.
","['panela', 'philips', '5l', 'com', 'timer']"
Betoneira Columbus - Roma Brinquedos,betoneira columbus roma brinquedos,['brinquedos'],['brinquedos'],[],[],[],[],['brinquedos'],"Betoneira Columbus, Roma Brinquedos, Roma Brinquedos, Roma Br","brinquedos, columbus, roma"," ['Betoneira','Columbus','Roma','Brinquedos']"," I'm not sure what you are trying to say, but the list of most important words is ""Romeo and Juliet"""," 

1. Betoneira
2. Columbus
3. Roma
4. Brinquedos
",[]
"Smart TV LED 43"" LG 43UJ6525 Ultra HD 4K com Conversor Digital 4 HDMI 2 USB WebOS 3.5 Painel Ips HDR e Magic Mobile Connection",smart tv led 43 lg 43uj6525 ultra hd 4k conversor digital 4 hdmi 2 usb webos 3 5 painel ips hdr magic mobile connection,"['smart', 'led', 'ultra', 'conversor', 'digital', 'hdmi', 'usb', 'hdr', 'magic']","['smart', 'tv', 'led', '43', 'lg', 'ultra', 'hd', '4k', 'usb']",[],"['smart', 'tv', 'led', 'ultra', 'hd', '4k', 'conversor', 'digital', '4', 'hdmi', '2', 'usb', '3', '5']",[],"['smart', 'tv', 'led', 'ultra', 'hd', '4k', 'conversor', 'digital', '4', 'hdmi', '2', 'usb', '3', '5']","['ultra', 'conversor', '4k', '4', 'usb', 'magic', 'tv', '43', '5', '2', 'lg', 'led', 'hdmi', 'hdr', 'hd', 'smart', 'digital', '3']","LG 43UJ6525, LG 43UJ6525, LG 43","connection, hdmi, ips, tv",, I'm not sure what you are trying to say.  What is the list?," 

[Smart TV, LED, 43"", LG, 43UJ6525, Ultra HD, 4K, com, Conversor Digital, 4 HDMI, 2 USB, WebOS, 3.5, Painel, Ips, HDR, e, Magic, Mobile, Connection]

Explanation:
A lista de palavras mais relevantes é baseada em uma frase que inclui todos os termos relevantes para o seguinte","['tv', 'led', 'lg', '43uj6525', 'ultra', 'hd', '4k', 'com', 'digital', 'hdmi', 'usb', 'webos', 'painel', 'ips', 'hdr', 'mobile', 'connection']"
"Smartphone Motorola Moto G 5S Dual Chip Android 7.1.1 Nougat Tela 5.2"" Snapdragon 430 32GB 4G Câmera 16MP - Platinum",smartphone motorola moto g 5s dual chip android 7 1 1 nougat tela 5 2 snapdragon 430 32gb 4g camera 16mp platinum,"['smartphone', 'motorola', 'moto', 'dual', 'chip', 'android', 'nougat', 'tela', 'snapdragon', 'camera']","['smartphone', 'motorola', 'moto', '5s', 'dual', 'chip', 'android', 'camera']",[],"['smartphone', 'motorola', 'moto', 'g', '5s', 'dual', 'chip', 'android', '7', '1', 'nougat', 'tela', '5', '2', 'snapdragon', '32gb', '4g', 'camera', '16mp']",[],"['smartphone', 'motorola', 'moto', 'g', '5s', 'dual', 'chip', 'android', '7', '1', 'nougat', 'tela', '5', '2', 'snapdragon', '32gb', '4g', 'camera', '16mp']","['moto', 'chip', 'dual', 'android', '32gb', '4g', '16mp', 'smartphone', 'camera', '1', 'motorola', '2', 'tela', 'nougat', '5s', 'snapdragon', '5', '7', 'g']","Motorola, Smartphone, smartphone","chip, moto, nougat, tela"," ['Android', 'Nougat', 'Snapdragon', 'Camera', 'Moto', 'G', '5S', '32GB']", Do you know that the smartphone is the most popular smartphone in the United States and the world?," 

- Smartphone
- Motorola
- Moto G
- 5S
- Dual Chip
- Android
- 7.1.1
- Nougat
- Tela
- 5.2
- Snapdragon
- 430
- 32GB
- 4G
- Câmera
- 16MP
- Platinum
","['smartphone', 'motorola', 'moto', '5s', 'chip', 'android', 'nougat', 'tela', 'snapdragon', '430', '32gb', '4g', '16mp']"
Ventilador de Teto Ventisol Fenix Premium Branco 3 velocidades com Controle Remoto,ventilador teto ventisol fenix premium branco 3 velocidades controle remoto,"['ventilador', 'premium', 'branco', 'velocidades', 'controle', 'remoto']","['ventilador', 'premium', 'branco', 'controle']",[],"['premium', 'branco', '3', 'velocidades', 'controle']",[],"['premium', 'branco', '3', 'velocidades', 'controle']","['velocidades', 'branco', 'premium', '3', 'ventilador', 'controle', 'remoto']","Ventilador de Teto, Ventilador de Teto, Ventilador de Te","controle, fenix, remoto, velocidades"," Ventilador, de, Teto, Ventisol, Fenix, Premium, Branco, 3, velocidades, com, Controle, Remoto"," Do you know that the word ""answer"" was first recorded in the 10th century?"," 

1. Ventilador de Teto Ventisol Fenix Premium Branco 3 velocidades com Controle Remoto
2. Ventilador de Teto Ventisol Fenix Premium Branco 3 velocidades com Controle Remoto
3. Ventilador de Teto Ventisol Fenix Premium Branco 3 velocidades com Controle Remoto
4. Ventilador de Teto Ventisol Fenix Premium Branco 3 velocidades","['teto', 'fenix', 'premium', 'com', 'controle', 'remoto']"
Kit 10 Peças Fita Led 12v 5050 300 Leds Rgb + Fonte,kit 10 pecas fita led 12v 5050 300 leds rgb fonte,"['kit', 'pecas', 'led', 'leds']","['kit', '10', 'pecas', 'led', 'leds']",[],"['10', 'pecas', 'led']",[],"['10', 'pecas', 'led']","['pecas', 'kit', '10', 'led', 'leds']","phone, phone analysis, phone analysis","fita, led, kit, peça", KIT 10 PEÇAS Fita Led 12v 5050 300 Leds Rgb + Fonte, Kitten 10 Peach is the most popular peach fruit in the world.  ," 

[Kit 10 Peças Fita Led 12v 5050 300 Leds Rgb + Fonte]
","['kit', 'led', '12v', '5050', '300', 'leds', 'rgb']"
Aspirador de Pó Philco Rapid 1000N Vermelho/Preto - 1000W,aspirador po philco rapid 1000n vermelho preto 1000w,"['aspirador', 'philco', 'vermelho', 'preto']","['aspirador', 'po', 'philco', 'vermelho', 'preto']",[],"['philco', 'vermelho', 'preto']",[],"['philco', 'vermelho', 'preto']","['preto', 'philco', 'vermelho', 'aspirador', 'po']","Aspirador de Pó Philco Rapid 1000N Vermelho/Preto, Asp","aspirador, philco, pó, rapid, w"," a, rapid, philco, v, vermelho, preto", Aspire to be aspiring as Philip Philadelphia.," 

1. Aspirador de Pó
2. Rapid
3. 1000N
4. Vermelho
5. Preto
6. 1000W
","['aspirador', 'philco', 'rapid', '1000n', 'preto', '1000w']"
Conjunto de Panelas Antiaderente Turim 10 Peças Vermelha Tramontina,conjunto panelas antiaderente turim 10 pecas vermelha tramontina,"['conjunto', 'pecas', 'vermelha']","['conjunto', '10', 'pecas']",[],"['10', 'pecas', 'vermelha']",[],"['10', 'pecas', 'vermelha']","['conjunto', 'pecas', '10', 'vermelha']",Conjunto de Panelas Antiaderente Turim 10 Peças Ver,"panela, turmo, turmoina"," [""panelas"", ""antiaderente"", ""vermelha"", ""tramontina"", ""peças""]"," I'm not sure what you mean by ""the list"" but I do know that the word ""conjunta"" means ""little armoured one"" in Spanish."," 

1. Panelas Antiaderente
2. Turim
3. Vermelha
4. Tramontina
5. 10
6. Peças
7. Vermelho
8. Tramontina
9. Turim
10. Panelas
11. Antiaderente
12. Vermelho
13. Tramontina
14. 10
15. Peças
16. Vermelho
17.",['panelas']
